State Abbv,State,Percent of Population,Median Household Income,Percent of Income
AK,ALASKA,46,"$75,723",2%
AL,ALABAMA,47,"$47,221",3%
AR,ARKANSAS,44,"$45,907",3%
AZ,ARIZONA,44,"$57,100",2%
CA,CALIFORNIA,46,"$66,637",2%
CO,COLORADO,52,"$70,566",2%
CT,CONNECTICUT,54,"$75,923",2%
DC,DISTRICT OF COLUMBIA,51,"$70,982",2%
DE,DELAWARE,47,"$58,046",2%
FL,FLORIDA,42,"$51,176",3%
GA,GEORGIA,49,"$53,527",3%
HI,HAWAII,55,"$72,133",1%
IA,IOWA,54,"$59,094",2%
ID,IDAHO,48,"$56,564",2%
IL,ILLINOIS,51,"$61,386",2%
IN,INDIANA,52,"$56,094",2%
KS,KANSAS,53,"$56,810",2%
KY,KENTUCKY,44,"$45,369",3%
LA,LOUISIANA,42,"$42,196",3%
MA,MASSACHUSETTS,54,"$72,266",2%
MD,MARYLAND,54,"$73,760",2%
ME,MAINE,49,"$50,856",3%
MI,MICHIGAN,51,"$57,091",2%
MN,MINNESOTA,55,"$70,218",2%
MO,MISSOURI,51,"$55,016",2%
MS,MISSISSIPPI,42,"$41,099",3%
MT,MONTANA,43,"$57,075",2%
NC,NORTH CAROLINA,45,"$53,764",2%
ND,NORTH DAKOTA,55,"$60,184",2%
NE,NEBRASKA,55,"$59,374",2%
NH,NEW HAMPSHIRE,58,"$76,260",2%
NJ,NEW JERSEY,55,"$68,468",3%
NM,NEW MEXICO,36,"$48,451",3%
NV,NEVADA,50,"$55,431",2%
NY,NEW YORK,50,"$61,437",2%
OH,OHIO,51,"$53,985",3%
OK,OKLAHOMA,48,"$50,943",2%
OR,OREGON,46,"$59,135",2%
PA,PENNSYLVANIA,53,"$60,979",2%
RI,RHODE ISLAND,51,"$61,528",3%
SC,SOUTH CAROLINA,46,"$54,336",3%
SD,SOUTH DAKOTA,49,"$57,450",2%
TN,TENNESSEE,46,"$51,344",2%
TX,TEXAS,49,"$58,146",2%
UT,UTAH,60,"$67,481",2%
VA,VIRGINIA,55,"$66,451",2%
VT,VERMONT,47,"$60,837",2%
WA,WASHINGTON,49,"$70,310",1%
WI,WISCONSIN,56,"$59,817",2%
WV,WEST VIRGINIA,43,"$44,354",3%
WY,WYOMING,55,"$57,829",2%